followee,relation,follower
Cooperativa,FOLLOWING,YonathanMillar
Cooperativa,FOLLOWING,herbert_garcia_
Cooperativa,FOLLOWING,BinOsmanIbnOsm1
elmostrador,FOLLOWING,BinOsmanIbnOsm1
Cooperativa,FOLLOWING,Rodrigo75084674
elmostrador,FOLLOWING,Rodrigo75084674
Cooperativa,FOLLOWING,alexi_vergara
latercera,FOLLOWING,alexi_vergara
Cooperativa,FOLLOWING,Tamarambia1
elmostrador,FOLLOWING,Tamarambia1
Cooperativa,FOLLOWING,LauraPe73061537
Cooperativa,FOLLOWING,gripada
latercera,FOLLOWING,gripada
elmostrador,FOLLOWING,gripada
Cooperativa,FOLLOWING,xQNbCjZEZucuaj1
CEVDETKAVLAK,FOLLOWING,xQNbCjZEZucuaj1
mick_ardy,FOLLOWING,xQNbCjZEZucuaj1
Cooperativa,FOLLOWING,Eduardo05906996
VanieVanille,FOLLOWING,Eduardo05906996
Cooperativa,FOLLOWING,PazHayet
