Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,636.250000,652.599976,636.250000,649.000000,649.000000,0
2017-08-02,637.770020,654.799988,637.770020,653.299988,653.299988,0
2017-08-03,640.869995,651.299988,638.919983,650.299988,650.299988,0
2017-08-04,648.000000,650.369995,646.700012,648.000000,648.000000,0
2017-08-07,649.700012,651.099976,638.570007,650.299988,650.299988,0
2017-08-08,638.760010,651.229980,638.760010,651.200012,651.200012,0
2017-08-09,643.219971,650.830017,643.219971,643.380005,643.380005,0
2017-08-10,635.419983,647.880005,635.419983,647.700012,647.700012,0
2017-08-11,633.809998,648.900024,633.809998,648.099976,648.099976,0
2017-08-14,633.159973,647.419983,633.159973,645.799988,645.799988,0
2017-08-15,648.299988,649.330017,647.900024,648.299988,648.299988,0
2017-08-16,648.799988,648.799988,644.289978,637.530029,637.530029,0
2017-08-17,632.880005,646.000000,632.880005,644.599976,644.599976,0
2017-08-18,630.890015,647.289978,630.890015,646.200012,646.200012,0
2017-08-21,634.380005,646.400024,634.380005,645.900024,645.900024,0
2017-08-22,631.710022,642.500000,631.710022,642.400024,642.400024,0
2017-08-23,630.520020,641.900024,630.520020,640.200012,640.200012,0
2017-08-24,627.049988,640.299988,627.049988,640.099976,640.099976,0
2017-08-25,628.320007,638.000000,628.320007,637.700012,637.700012,0
2017-08-28,618.979980,634.130005,618.979980,631.700012,631.700012,0
2017-08-29,621.229980,628.700012,621.229980,628.150024,628.150024,0
2017-08-30,620.020020,629.549988,620.020020,625.299988,625.299988,0
2017-08-31,616.989990,632.650024,616.989990,631.400024,631.400024,0
2017-09-01,618.219971,625.599976,613.679993,624.700012,624.700012,0
2017-09-04,615.159973,625.500000,613.960022,625.000000,625.000000,0
2017-09-05,614.669983,624.309998,614.669983,624.099976,624.099976,0
2017-09-06,611.520020,622.429993,611.520020,623.000000,623.000000,0
2017-09-07,611.750000,617.200012,607.059998,617.799988,617.799988,0
2017-09-08,604.520020,619.599976,604.520020,613.599976,613.599976,0
2017-09-11,604.039978,623.000000,604.039978,619.599976,619.599976,0
2017-09-12,610.690002,625.780029,610.690002,622.400024,622.400024,0
2017-09-13,621.799988,626.349976,621.799988,621.799988,621.799988,0
2017-09-14,625.900024,629.119995,624.500000,625.900024,625.900024,0
2017-09-15,614.140015,626.229980,614.140015,623.700012,623.700012,0
2017-09-18,613.119995,625.450012,613.119995,623.900024,623.900024,0
2017-09-19,612.940002,626.030029,612.940002,613.260010,613.260010,0
2017-09-20,613.390015,624.969971,613.390015,624.900024,624.900024,0
2017-09-21,621.299988,624.799988,621.299988,621.400024,621.400024,0
2017-09-22,607.900024,625.250000,607.900024,624.000000,624.000000,0
2017-09-25,616.080017,628.919983,616.080017,626.200012,626.200012,0
2017-09-26,614.750000,635.099976,614.750000,628.900024,628.900024,0
2017-09-27,634.599976,639.559998,634.599976,634.599976,634.599976,0
2017-09-28,622.929993,637.619995,622.929993,623.440002,623.440002,0
2017-09-29,626.239990,639.369995,626.239990,635.400024,635.400024,0
2017-10-02,624.349976,641.440002,624.349976,639.599976,639.599976,0
2017-10-03,628.809998,638.500000,628.809998,638.200012,638.200012,0
2017-10-04,627.299988,632.599976,627.299988,627.789978,627.789978,0
2017-10-05,622.140015,632.799988,622.140015,631.200012,631.200012,0
2017-10-06,621.450012,634.549988,621.450012,628.099976,628.099976,0
2017-10-09,615.700012,633.119995,615.700012,632.700012,632.700012,0
2017-10-10,621.890015,633.700012,621.890015,621.919983,621.919983,0
2017-10-11,619.830017,630.099976,619.830017,629.000000,629.000000,0
2017-10-12,615.520020,625.520020,615.520020,626.099976,626.099976,0
2017-10-13,615.940002,624.200012,615.940002,624.000000,624.000000,0
2017-10-16,624.599976,624.599976,611.369995,622.799988,622.799988,0
2017-10-17,611.830017,623.200012,611.830017,618.700012,618.700012,0
2017-10-18,606.760010,627.109985,606.760010,621.200012,621.200012,0
2017-10-19,607.969971,626.250000,607.969971,624.700012,624.700012,0
2017-10-20,623.400024,629.460022,623.400024,624.700012,624.700012,0
2017-10-23,617.109985,632.099976,617.109985,628.099976,628.099976,0
2017-10-24,616.109985,632.849976,616.109985,633.099976,633.099976,0
2017-10-25,633.000000,633.820007,628.700012,632.099976,632.099976,0
2017-10-26,618.280029,631.840027,618.280029,629.099976,629.099976,0
2017-10-27,627.020020,635.890015,623.510010,634.400024,634.400024,0
2017-10-30,634.900024,637.700012,633.299988,634.900024,634.900024,0
2017-10-31,638.799988,638.849976,621.010010,621.020020,621.020020,0
2017-11-01,637.200012,637.200012,634.799988,625.179993,625.179993,0
2017-11-02,634.599976,635.599976,630.000000,634.599976,634.599976,0
2017-11-03,622.179993,634.700012,622.179993,622.150024,622.150024,0
2017-11-06,634.000000,634.059998,619.979980,634.000000,634.000000,0
2017-11-07,632.500000,635.099976,631.000000,632.500000,632.500000,0
2017-11-08,633.900024,634.200012,629.900024,633.900024,633.900024,0
2017-11-09,631.200012,632.429993,629.200012,631.500000,631.500000,0
2017-11-10,618.309998,631.270020,618.309998,618.919983,618.919983,0
2017-11-13,631.099976,633.200012,629.299988,631.099976,631.099976,0
2017-11-14,629.500000,631.869995,627.599976,629.200012,629.200012,0
2017-11-15,631.299988,633.400024,613.239990,612.830017,612.830017,0
2017-11-16,null,null,null,null,null,null
2017-11-17,629.799988,630.609985,625.900024,629.799988,629.799988,0
2017-11-20,626.099976,638.900024,619.840027,626.099976,626.099976,0
2017-11-21,636.299988,637.599976,633.599976,636.299988,636.299988,0
2017-11-22,634.000000,636.400024,633.200012,634.000000,634.000000,0
2017-11-23,633.000000,635.200012,632.000000,633.250000,633.250000,0
2017-11-24,634.599976,634.880005,621.710022,621.500000,621.500000,0
2017-11-27,633.599976,638.200012,619.239990,633.599976,633.599976,0
2017-11-28,637.400024,643.000000,623.559998,637.400024,637.400024,0
2017-11-29,640.799988,644.299988,640.099976,640.799988,640.799988,0
2017-11-30,644.000000,648.630005,641.900024,643.799988,643.799988,0
2017-12-01,628.349976,651.700012,628.349976,629.200012,629.200012,0
2017-12-04,647.299988,649.299988,646.700012,647.299988,647.299988,0
2017-12-05,647.500000,653.900024,647.400024,647.500000,647.500000,0
2017-12-06,653.099976,654.200012,652.000000,653.099976,653.099976,0
2017-12-07,653.000000,656.099976,652.099976,653.000000,653.000000,0
2017-12-08,654.799988,655.599976,654.700012,654.799988,654.799988,0
2017-12-11,652.700012,656.700012,652.700012,652.700012,652.700012,0
2017-12-12,655.500000,657.000000,652.200012,644.059998,644.059998,0
2017-12-13,653.599976,653.599976,646.080017,653.599976,653.599976,0
2017-12-14,645.799988,645.940002,634.429993,645.799988,645.799988,0
2017-12-15,638.200012,639.299988,634.599976,638.200012,638.200012,0
2017-12-18,636.299988,636.400024,620.099976,636.299988,636.299988,0
2017-12-19,621.099976,622.799988,618.599976,621.099976,621.099976,0
2017-12-20,608.700012,621.359985,608.700012,608.890015,608.890015,0
2017-12-21,619.799988,621.299988,618.500000,619.500000,619.500000,0
2017-12-22,620.000000,622.799988,620.000000,620.200012,620.200012,0
2017-12-25,619.700012,622.000000,619.099976,619.700012,619.700012,0
2017-12-26,608.039978,622.025024,608.039978,607.830017,607.830017,0
2017-12-27,618.599976,618.700012,614.900024,618.500000,618.500000,0
2017-12-28,616.000000,616.200012,613.299988,616.000000,616.000000,0
2017-12-29,614.299988,615.099976,613.200012,614.400024,614.400024,0
2018-01-01,613.500000,615.000000,602.340027,613.500000,613.500000,0
2018-01-02,614.000000,614.979980,601.130005,601.840027,601.840027,0
2018-01-03,606.000000,607.190002,602.799988,606.000000,606.000000,0
2018-01-04,606.400024,606.500000,601.500000,606.750000,606.750000,0
2018-01-05,605.299988,607.099976,603.099976,605.299988,605.299988,0
2018-01-08,604.700012,608.000000,604.099976,604.700012,604.700012,0
2018-01-09,605.099976,607.799988,604.900024,605.000000,605.000000,0
2018-01-10,607.400024,610.099976,605.099976,607.400024,607.400024,0
2018-01-11,608.200012,609.200012,604.799988,608.099976,608.099976,0
2018-01-12,605.099976,605.770020,602.099976,605.099976,605.099976,0
2018-01-15,603.099976,603.299988,589.260010,603.099976,603.099976,0
2018-01-16,602.700012,606.799988,588.619995,588.400024,588.400024,0
2018-01-17,606.599976,606.599976,588.270020,606.599976,606.599976,0
2018-01-18,606.200012,606.400024,604.200012,606.400024,606.400024,0
